participant,Filename,phonation,H1c_mean,H2c_mean,H4c_mean,A1c_mean,A2c_mean,A3c_mean,H2Kc_mean,H1H2c_mean,H2H4c_mean,H1A1c_mean,H1A2c_mean,H1A3c_mean,H42Kc_mean,H2KH5Kc_mean,CPP_mean,Energy_mean,HNR05_mean,HNR15_mean,HNR25_mean,HNR35_mean,sF0_mean,sF1_mean,sF2_mean,sF3_mean,sF4_mean,sB1_mean,sB2_mean,sB3_mean,sB4_mean,soe_mean,H1c_sd,H2c_sd,H4c_sd,A1c_sd,A2c_sd,A3c_sd,H2Kc_sd,H1H2c_sd,H2H4c_sd,H1A1c_sd,H1A2c_sd,H1A3c_sd,H42Kc_sd,H2KH5Kc_sd,CPP_sd,Energy_sd,HNR05_sd,HNR15_sd,HNR25_sd,HNR35_sd,sF0_sd,sF1_sd,sF2_sd,sF3_sd,sF4_sd,sB1_sd,sB2_sd,sB3_sd,sB4_sd,soe_sd,session,repetition,comb_no
P0001,AC_P0001_S01_R01_BRT_HDM.mat,BRT,16.425432280701756,5.149998596491228,-1.7543740350877193,-15.304557894736842,-14.625360701754387,-5.760611228070175,-3.765103859649123,11.275447719298246,6.904364912280702,31.72999438596491,31.05077192982456,22.186047719298244,2.0107452631578946,22.09898245614035,17.35096488764045,0.6932097902097902,6.151822331460674,17.170443117977527,21.19762991573034,25.120837078651686,84.35228461538462,409.8185314685315,1535.1041097902098,2432.003860839161,3458.631237062937,225.23524965034966,274.31384125874126,276.45772447552446,424.79345874125875,0.01893438320209974,7.437975760428456,6.195662521138536,6.382078783992233,9.713108065845232,7.53647980288152,8.526924659695371,8.533113540782155,3.002855746398139,3.494747616532898,7.013656544854612,6.836390575775245,9.100808161991601,6.888038224781184,7.881684379210077,0.8437196615901202,0.391271036286747,4.14097112788469,4.286129673648966,4.19496963822288,4.026004216459575,14.523372809904744,197.07812613360156,346.67796637691623,265.9455576875132,478.29395604390237,163.52633392426708,246.57302392411574,181.36355839738656,236.23875851568522,0.007391010700643083,S01,R01,S01R01
P0001,AC_P0001_S01_R01_CRK_HDM.mat,CRK,13.14246568627451,10.741680392156862,3.3065333333333333,-9.268424509803921,-15.097425490196079,-6.427032352941176,-2.9803176470588237,2.4007813725490195,7.435134313725491,22.410889215686275,28.239880392156863,19.56949117647059,6.286881372549019,26.508100980392157,18.98264208456244,0.5586268364348678,2.4066784660766962,15.259817109144542,20.882916420845625,26.301700098328418,59.54850930460333,402.9828903036239,1332.1026797257591,2252.3948423114593,3527.1367443682666,72.25671694417238,233.7351292850147,204.75982664054848,488.21772380019587,0.008564147627416521,4.44451711576685,5.605373204115576,5.3365329412493026,6.640424155345222,4.349841391910342,5.701844698480152,5.881938946757947,2.2168454504041337,2.3095078805330753,4.14689260568711,3.8776421140278883,6.158809827521917,5.613580289352854,6.634472319661325,1.0595305525793928,0.418652149614855,3.8682856464305115,4.534272221940335,3.9602304419617704,3.663877237966868,10.86896128491143,133.99824791527845,353.15888896507386,269.36833827600105,507.31417180972244,82.74572763289505,202.01072256252698,176.1728235491744,249.54875820343915,0.0027315026469989265,S01,R01,S01R01
P0001,AC_P0001_S01_R01_MOD_HDM.mat,MOD,13.814133605998636,7.490529652351738,0.2518192360163711,-9.49737559645535,-14.923896387184731,-5.244940013633265,-2.523497614178596,6.323600545330606,7.238899113837764,23.311531697341515,28.738038854805726,19.059083844580776,2.7751445126107703,25.75698295841854,18.04743997271487,0.7659945725915875,7.169748294679399,20.153467257844476,25.236354024556615,30.164480900409277,95.34961329715061,360.92577679782903,1473.9239321573948,2419.7250101763907,3832.455605834464,130.72877883310719,335.92662686567166,214.1400881953867,431.42604274084124,0.025393984962406014,7.329132503390838,7.964400946473866,7.023519930859399,9.749119561956324,6.287202300674902,7.932127738437028,8.77022863453437,1.924466530839564,3.413585688556322,5.201299153305849,5.124264697179164,8.034715903154122,6.871082779816905,7.953800491906826,1.2271681964592676,0.5107144696290813,4.3880738953056175,4.334242651773921,3.997133117440562,3.796601465525564,16.162630015881213,137.01012696262532,431.07708468986414,320.4191125464367,497.5602310401476,131.2701156533098,289.18788904076985,194.20996186277105,251.65449878921063,0.00828024709829381,S01,R01,S01R01
P0001,AC_P0001_S01_R02_BRT_HDM.mat,BRT,14.824055162659123,5.192939179632249,-0.33266548797736917,-11.515981612446959,-11.647515558698727,-3.783324611032532,-2.726150636492221,9.631118811881189,5.525596888260255,26.340034653465345,26.4715756718529,18.60739179632249,2.3935063649222066,20.513176096181045,16.690199434229136,0.9211244695898161,6.78296251768034,17.783913719943424,21.231741867043848,24.909757425742573,109.45948302687411,390.8071669024045,1656.7072963224894,2483.3915777934935,3708.048195190948,235.76158628005658,337.72195898161243,237.15356152758133,447.89105445544556,0.02156108597285068,8.255967184653016,7.6659669604440355,7.998029466299208,10.909803497085827,8.489094832330384,9.262454205370423,9.803764030202014,3.9070375707098273,4.683592305268672,7.870461098606124,7.1057951824115335,9.167396844994757,6.21663832643499,9.288005562851698,0.6767282359110094,0.5674698878956762,4.441413728294577,4.44261289733956,4.579269703284035,4.60413214493957,24.544646608409344,220.91281638987877,423.64362417668144,286.83588498477656,504.20952216334325,185.66387299555754,265.3092036486548,176.26645258162011,232.862557797821,0.008006721329134318,S01,R02,S01R02
P0001,AC_P0001_S01_R02_CRK_HDM.mat,CRK,14.185647567567568,12.096452972972973,5.6160248648648645,-8.075565405405406,-15.252715675675676,-7.0018,-3.7819437837837837,2.089211891891892,6.480420540540541,22.261244324324323,29.43836216216216,21.187467027027026,9.397962162162163,22.829516756756757,19.01229081081081,0.8030313513513514,1.1944183783783784,15.237389189189189,20.451737297297296,25.482030270270272,58.53912972972973,399.8833902702703,1467.073707027027,2341.7513567567566,3467.949572972973,69.89480756756757,276.94772216216217,232.57948324324323,478.498,0.010762376237623762,4.690629601624886,5.865998956235003,5.644946100037164,8.051561645418282,5.548028196414145,6.035141594977584,7.3138764651211305,2.4862121801722363,1.839318802538004,5.416466817037455,4.936163911799442,5.9148694798336745,6.099882546388543,8.499558526286195,1.0997811159498434,0.6218619333642671,4.360523797060028,4.8345468239938985,4.104642048654093,3.6673470478279784,11.004327500022013,131.325772380956,466.9825024112468,272.0995131575824,538.7011257564079,71.9398362917043,240.91067852093954,225.4435128296028,272.8701259082694,0.003359860266284602,S01,R02,S01R02
P0001,AC_P0001_S01_R02_MOD_HDM.mat,MOD,14.899222465353755,8.634680525164114,2.3819606126914663,-8.286909555069293,-13.078735959153903,-4.011488694383662,-0.7165061998541211,6.264542669584245,6.25271480671043,23.186123997082422,27.977959883296865,18.910716994894237,3.098484318016047,25.497132749817652,18.247606569343066,1.0398562091503267,6.054537226277373,18.835570802919708,24.25285182481752,28.481136496350366,97.94507625272331,364.57607770515614,1474.652564996369,2456.028843137255,3682.0176209150327,141.71716412490923,317.66471968046477,275.6919891067538,433.5415584604212,0.0204064039408867,7.271812129254562,7.672717962458803,7.0168032921540044,10.047065081670238,6.563481270865734,7.856081958341954,9.361601556190017,1.8690031107310932,3.7489637275231473,6.113339817543229,5.500614958506652,8.050668144652597,6.906539579755169,9.249681827861497,1.093290588271203,0.7350300863608763,4.474230960897603,4.254753315209781,3.8307858427561503,3.675990581053036,23.109820248466228,158.9970739101291,412.3359911290139,299.16014482253223,534.2198314113232,124.21886517909215,256.82356555175465,180.5273534516646,242.0608133907663,0.008194023016050203,S01,R02,S01R02
P0001,AC_P0001_S01_R03_BRT_HDM.mat,BRT,15.986662424648358,5.251795043536504,-1.1836065683646113,-13.114054253181514,-12.82126389819156,-5.5286175485599465,-4.387292895442359,10.734859343603484,6.434608171466845,29.100713998660414,28.80792498325519,21.515292699263227,3.2015338245144007,19.447075686537172,17.055792364367047,0.8214447421299397,6.325128600133959,17.443149363697255,20.854749497655728,24.628458137977226,98.67112056262559,419.1692411252512,1683.2574722036168,2494.710413261889,3772.2556054922975,240.6937026121902,339.81632417950436,229.57827394507703,438.2041768251842,0.020170007423904974,7.813895504698829,7.265279915935263,7.0028815944911225,10.326751033760544,8.00732755437286,8.125441121398012,8.391328096553838,3.822930943526089,3.5637225704078013,7.318862176749217,6.6676535734345,8.328657274296257,6.084784518266953,8.17142258610634,0.800311438052284,0.4934311197120479,4.477465593572759,4.631934910004388,4.504892121276367,4.351722807639126,19.590170250918845,216.58707103396202,427.8565160128093,303.75515985984043,536.7784168778833,206.81339129403634,271.1144286868142,170.69094064236677,222.00375538081752,0.006996712680663302,S01,R03,S01R03
P0001,AC_P0001_S01_R03_CRK_HDM.mat,CRK,13.295855526544822,11.797741514360313,5.316358013937283,-8.142508268059181,-15.442026979982593,-6.0316779808529155,-4.083859007832898,1.4981549173194082,6.4859947780678855,21.43839686684073,28.73790861618799,19.32756222802437,9.403756968641115,24.13652045256745,19.299034001743678,0.631098615916955,1.6317523975588493,16.14391455972101,21.100995640802093,26.26051002615519,58.67273615916955,389.45903200692044,1476.8816825259516,2366.162618512111,3506.9497283737023,73.6933875432526,313.88923096885816,216.90721193771626,487.58492214532873,0.009210862619808307,5.035223677513598,5.768012572221145,5.552938020138353,7.2774332509666335,5.041554848737189,6.412507996398823,6.686388681777127,2.2986843814206823,1.866829082699999,5.247343223985236,4.97854009248124,6.804557586532181,6.115377999296178,8.162395397666538,1.1527454055631976,0.44236813405133135,3.8768740254418432,4.588240601790486,4.23459171389658,4.025770475792803,16.81835662356286,142.55603712435578,441.92331148941844,275.0281162887361,490.2066544939751,65.32940823712791,245.51443922197842,221.35274495607806,249.95334421934032,0.003096880012964094,S01,R03,S01R03
P0001,AC_P0001_S01_R03_MOD_HDM.mat,MOD,15.434276287164613,9.370666424945613,2.800668600435098,-6.646079042784627,-12.558137055837564,-4.441068165337201,-2.0311269035532993,6.063588107324148,6.570014503263234,22.080340101522843,27.99241986947063,19.87533502538071,4.83180058013053,22.85721899927484,18.255833212472805,1.3383596809282088,5.192912255257433,18.308384336475708,23.279607686729513,28.021775924583032,97.1797331399565,370.68797751994197,1560.7348868745469,2480.925251631617,3838.369439448876,137.3649376359681,343.7814111675127,251.47838941261784,430.13550978970267,0.023689123376623378,7.52654851807073,7.850617073938982,7.339619888756494,10.385239948382264,6.82672513331161,8.070785483126995,9.270462193398956,1.7907388847339607,3.896513312993826,6.143115411380584,5.803795109151412,8.220920465222491,6.970761670310262,8.959548703688998,1.1642277437062882,1.0126338989740675,4.671324186132551,4.281026295633492,3.939426693198829,3.8892937792641553,20.39138123042704,155.64023824903532,487.42585063003725,344.4313696631832,523.0434045229882,122.50711162383229,263.6011623279188,227.45268146807445,228.86282504712725,0.008798120980122209,S01,R03,S01R03
P0001,AC_P0001_S02_R01_BRT_HDM.mat,BRT,19.700613278576316,9.298774811772759,1.8484182067077344,-10.809380561259411,-10.021382614647502,-1.8062573579739905,-0.466299794661191,10.401832991101985,7.450352498288844,30.51000889801506,29.721985626283367,21.50687816563997,2.314738535249829,21.831145106091718,17.350899315068492,1.404958988380041,3.744493488690884,14.856021232876712,18.56998904109589,22.256722602739725,84.51954340396446,387.7047634996582,1583.207935064935,2463.752016404648,3506.5681736158576,229.04002460697197,270.65634039644567,303.15946138072457,376.00476281613123,0.019451146983857266,7.668005479204565,7.16084533259431,6.771389376638434,9.47557778649675,7.7363057322573425,7.958430684140527,8.16294088694511,3.4489925121405025,3.703562590805779,6.780144701898912,6.870890993681498,9.107725471596526,6.642705955382306,8.010638802672045,0.9469900689437443,0.8336116022335918,4.143654447817009,4.293385137617982,4.238137725658305,4.2153617447666365,15.736181518021507,209.41338644853997,377.68897904698775,361.0838584299049,456.18253248792684,211.36553029927316,219.67311829725114,195.69399784516867,212.5954720035758,0.007637595037183946,S02,R01,S02R01
P0001,AC_P0001_S02_R01_CRK_HDM.mat,CRK,15.433667736757624,12.572634028892455,5.001516853932585,-7.957299357945425,-12.952148475120385,-4.364247993579454,-1.621534510433387,2.861038523274478,7.57112760834671,23.390955056179774,28.385826645264846,19.79791171749599,6.623074638844302,24.082565008025682,18.986719101123594,0.7498900481540931,2.0648105939004817,14.71315569823435,19.435678170144463,24.4008113964687,64.25840128410915,375.57722150882825,1400.212650882825,2255.401437399679,3353.1291051364365,83.41360433386838,253.1345088282504,197.95600722311397,425.2046845906902,0.009385714285714285,5.016092559374404,6.108409880514504,5.738758013846096,7.850463372062567,5.609034457749262,6.487384044811551,6.552916942326138,2.470493050337883,2.3112057443114775,5.186009536748608,4.985392463961408,6.655604686759634,5.931747839158058,6.859812154993361,1.2654267276141102,0.5160977865194529,3.81051855764445,4.349923196459452,4.101857939688615,3.881664371285566,16.12700745842647,136.10260208824465,358.1835289798294,242.68112414438258,477.7238790808813,78.86391578106453,223.37947989318653,174.0472025911222,235.1259342370847,0.0028363337516997223,S02,R01,S02R01
