participant,Filename,phonation,interval,H1c_mean,H2c_mean,H4c_mean,A1c_mean,A2c_mean,A3c_mean,H2Kc_mean,H1H2c_mean,H2H4c_mean,H1A1c_mean,H1A2c_mean,H1A3c_mean,H42Kc_mean,H2KH5Kc_mean,CPP_mean,Energy_mean,HNR05_mean,HNR15_mean,HNR25_mean,HNR35_mean,sF0_mean,sF1_mean,sF2_mean,sF3_mean,sF4_mean,sB1_mean,sB2_mean,sB3_mean,sB4_mean,H1c_sd,H2c_sd,H4c_sd,A1c_sd,A2c_sd,A3c_sd,H2Kc_sd,H1H2c_sd,H2H4c_sd,H1A1c_sd,H1A2c_sd,H1A3c_sd,H42Kc_sd,H2KH5Kc_sd,CPP_sd,Energy_sd,HNR05_sd,HNR15_sd,HNR25_sd,HNR35_sd,sF0_sd,sF1_sd,sF2_sd,sF3_sd,sF4_sd,sB1_sd,sB2_sd,sB3_sd,sB4_sd,session,repetition,comb_no,rs
P0001,AC_P0001_S01_R01_BRT_HDM.mat,BRT,a,16.12681111111111,4.443059259259259,-0.11204074074074075,-11.467266666666667,-10.094314814814815,-1.181237037037037,-1.037488888888889,11.683744444444445,4.555074074074074,27.5941,26.221085185185185,17.308037037037035,0.9254629629629629,22.047944444444443,16.840550185873607,0.8056909090909091,6.862542750929368,17.345412639405204,20.355234200743496,23.856799256505575,95.86473090909091,364.59628363636364,1580.475098181818,2415.0660327272726,3442.04268,239.40126545454547,258.1114145454545,220.57634181818182,395.7879127272727,8.045321138444004,7.011382869569111,8.100867959956743,11.826943523300757,7.171742509699457,7.629294633049615,8.55920256497083,3.676798503024927,3.9493075005967295,8.59006557576313,5.470056606898994,8.75888001778249,6.5514364199044675,8.968701390949795,0.9102355988532538,0.3761891254791034,3.9406376703648323,3.551883918449216,3.5346532014678385,3.57935751507805,19.88084369749951,187.1965265265696,289.2364146470826,290.5262579189897,461.0964280870878,169.9439270588208,236.0186545480398,175.24175952107797,214.1526364670829,S01,R01,S01R01a,S01R01
P0001,AC_P0001_S01_R01_BRT_HDM.mat,BRT,b,14.92220197044335,3.8477783251231528,-3.113911330049261,-16.233187192118226,-15.887453201970443,-8.517748768472906,-7.570083743842365,11.07447290640394,6.96167487684729,31.155354679802954,30.809610837438424,23.43997536945813,4.456167487684729,19.489748768472907,17.33027093596059,0.6508817733990148,7.454650246305419,19.109261083743842,23.07657142857143,26.672029556650248,91.58006403940887,397.0602167487685,1620.78060591133,2445.016068965517,3412.5317980295567,205.82056650246307,228.1684778325123,293.6349162561576,358.48709359605914,7.221043115563552,6.22996175990069,6.5520368900014825,9.783571360134552,8.5944802146452,8.65608773649602,7.648824953299662,3.1674772894549377,3.3655643345227033,7.364783040254147,7.181425076541631,9.351472670828468,6.514834842972993,5.287266057922878,0.9138883960789378,0.4548324746680706,4.790955349326999,5.48258672199274,5.197390476091036,4.878341946567187,16.347702261738586,187.48968359194654,328.50449601810817,256.24005928372696,417.8443574296127,133.02964396860992,170.85775072551849,193.51983439524807,176.82134197838153,S01,R01,S01R01b,S01R01
P0001,AC_P0001_S01_R01_BRT_HDM.mat,BRT,c,16.61080215827338,5.388827338129496,-2.5303992805755398,-17.341007194244604,-15.475406474820144,-6.873830935251799,-4.523823741007194,11.222003597122303,7.919212230215828,33.9518417266187,32.08617625899281,23.484629496402878,1.993431654676259,20.877906474820144,17.553057553956833,0.7151690647482014,6.461859712230216,16.375104316546764,20.265910071942447,24.20335251798561,83.22502517985612,471.31196043165465,1472.0205179856116,2396.759179856115,3333.089773381295,228.98692446043165,271.50705035971225,307.1380899280576,442.8239568345324,7.407517933521767,6.227217390791341,5.47626058371894,8.440961402201165,6.687974346770673,8.86705457163584,9.444050809034334,2.8370613291831712,2.7429738785628346,5.967915735023952,8.038963645862975,9.35683006830911,7.619244454569557,9.188353022669503,0.7239779727165964,0.30887096749779036,3.5975169523055133,4.1933978588725855,3.496793499089881,3.4874768104521197,10.583397487841287,214.7117044414189,330.26636951683685,194.79772484200365,447.3141411768575,175.98980745500128,237.32955846722962,174.36323457093474,266.4653174550973,S01,R01,S01R01c,S01R01
P0001,AC_P0001_S01_R01_BRT_HDM.mat,BRT,d,18.04482251082251,6.894060606060606,-1.5793030303030302,-14.783138528138528,-16.23492207792208,-4.856212121212121,-1.5487489177489178,11.150766233766234,8.47338961038961,32.82792640692641,34.27978354978355,22.90104761904762,-0.030519480519480544,25.323095238095238,17.61091341991342,0.7454935064935065,4.414415584415584,16.11531168831169,21.37905627705628,25.524203463203463,80.12939393939394,395.14801731601733,1410.9271428571428,2421.936497835498,3414.7422813852813,195.86263636363637,292.16195238095236,275.87227272727273,436.7884285714286,7.050114856826631,5.510620139154038,4.932666828218602,8.138186574941164,6.73422870719864,7.268207550279463,7.132757368354404,2.6296468182236974,3.1588746544183057,5.965186384984461,5.70615396978198,7.550551787632648,6.291224330854893,5.3807601992028085,0.830656168779939,0.4891094824548143,3.8774136427486634,4.2887472132255295,4.387083055015227,4.018126967629066,7.259737549799105,161.20313240345752,363.92263893658287,267.26535467196146,536.9935340044718,130.81874259224105,207.48145807394218,166.49330888019935,230.37871940155006,S01,R01,S01R01d,S01R01
P0001,AC_P0001_S01_R01_BRT_HDM.mat,BRT,e,18.169154639175257,6.157108247422681,-0.26447422680412375,-16.344087628865978,-16.85138144329897,-7.165917525773196,-2.8596907216494847,12.012025773195877,6.4215979381443296,34.51329381443299,35.020505154639174,25.33509793814433,2.595262886597938,24.924051546391752,17.373876288659794,0.772479381443299,5.81119587628866,16.665247422680412,21.623654639175257,26.15833505154639,78.87161340206185,444.2976701030928,1525.5544072164948,2488.6697474226803,3697.496783505155,273.91734020618554,348.6120463917526,263.245412371134,542.954824742268,8.017071974438071,6.85032583647975,7.189312001778598,10.603273943884926,7.446176631244743,9.337546116908378,9.662165531802636,2.798393324074279,3.2004225713858694,6.154586531973291,4.26303978029376,8.63117346567102,7.649711505817876,8.560265348498692,0.6272938879998002,0.3697884734773568,4.920257601283502,4.762557545447402,5.361919388890292,4.872471353883231,7.59738432422468,229.40529416225988,373.78805973439586,244.13055718235896,441.6837140849668,194.5175031496466,385.874137318274,174.90848895832355,254.82921408565613,S01,R01,S01R01e,S01R01
P0001,AC_P0001_S01_R01_BRT_HDM.mat,BRT,f,14.906915662650603,4.308923694779116,-2.8836546184738956,-16.108586345381525,-14.333024096385541,-6.9796626506024095,-5.535180722891567,10.598020080321286,7.19255421686747,31.0154859437751,29.239923694779115,21.886566265060242,2.6515261044176706,20.452718875502008,17.434610441767067,0.468710843373494,5.852923694779117,17.661208835341366,21.115859437751006,25.06357831325301,75.1914578313253,388.2555542168675,1608.2182048192772,2444.6417108433734,3509.3099477911646,210.54974297188755,258.5174497991968,300.7536947791165,387.5649277108434,6.201522044324734,4.598615363814996,4.824097263995479,7.771837325944351,6.646242273820618,7.376742705981592,6.523972310265485,2.5150208160650114,2.9377066183463754,4.884096949993798,5.0394754733576574,8.665285347747622,5.785625153050809,6.5273029610126025,0.7604666786958248,0.21986487034674798,3.2617420065880642,2.7650120684130854,2.603351379193689,2.664159578737618,5.157954158778595,177.94709816096847,355.3181586499022,318.07825121297805,479.1656379017086,156.2945054885471,198.44843582074435,190.09319651715072,221.42877098629893,S01,R01,S01R01f,S01R01
P0001,AC_P0001_S01_R01_CRK_HDM.mat,CRK,a,13.43438812785388,11.209091324200914,4.221123287671233,-7.936662100456621,-14.782739726027398,-5.569767123287671,-2.0934109589041094,2.225283105022831,6.987954337899543,21.371068493150684,28.217100456621004,19.004173515981734,6.314561643835616,24.627616438356164,19.32962962962963,0.7315727272727273,1.6437222222222223,15.53074537037037,20.824912037037038,26.052782407407406,58.961,392.51268636363636,1392.6252227272728,2278.7589454545455,3566.84665,55.712686363636365,246.99155,209.83455454545455,524.6630045454546,4.642718648548841,5.719097130006389,5.167584606778748,7.136392737743524,4.2715537910396115,6.894235558851504,6.655905291031575,1.653056707774092,2.064893272608346,4.063081534932243,2.8176980143290584,8.147819332118052,6.953193389482963,7.548044442585873,1.1268607069578047,0.51114168851388,2.7339949961109458,3.5013346817273607,3.1578218982494466,3.0946221069771,7.6106930555231385,125.00395486315968,297.7011123011976,266.5538432811833,446.39468489755296,44.368966303456475,200.9395350714781,176.08927154148464,242.35216051727838,S01,R01,S01R01a,S01R01
P0001,AC_P0001_S01_R01_CRK_HDM.mat,CRK,b,12.88123595505618,10.034556179775281,3.5993651685393258,-8.263005617977528,-14.109466292134831,-7.279741573033708,-3.883938202247191,2.846668539325843,6.435179775280899,21.144213483146068,26.990685393258428,20.160926966292134,7.48329213483146,25.694893258426966,19.30841011235955,0.5893595505617978,2.9114831460674155,16.4665,21.613370786516853,26.94206179775281,58.214994382022475,394.0657640449438,1337.7161966292135,2189.051702247191,3313.3516853932583,61.91688764044944,195.03411235955056,196.86147191011236,451.9830786516854,5.257694096231482,6.111640765548028,5.746740605687924,7.149447529915798,4.732977654913259,6.091845730762923,5.526594939827581,2.3686737396681155,2.1108715984993878,3.466507431605549,4.354190813523955,5.971372145472151,5.6056785317373246,5.102280388025867,1.154407801961896,0.4713920063655445,5.09850658562575,6.134322865628611,5.15120375352482,4.534726847752804,9.845774653392795,129.51465807660952,366.95203966540305,231.1110440891168,473.45982891962547,55.8795028054466,176.3950634398313,165.48803852444652,244.47182485653238,S01,R01,S01R01b,S01R01
P0001,AC_P0001_S01_R01_CRK_HDM.mat,CRK,c,12.358523489932885,9.22296644295302,1.8803959731543625,-11.31431543624161,-16.338691275167786,-5.346885906040268,-3.7314093959731545,3.13555033557047,7.342570469798658,23.67286577181208,28.697275167785236,17.705422818791945,5.611865771812081,26.369187919463087,18.613852348993287,0.5337248322147651,4.333476510067114,14.68641610738255,20.543261744966443,25.731926174496643,63.60018791946309,469.0969865771812,1242.1275771812082,2258.996489932886,3459.369765100671,78.79904026845638,225.51737583892617,173.96804026845638,488.1142818791946,5.347880763119077,7.284019013711425,6.799126040637146,7.003915963623732,3.711912981890344,4.361448006094718,4.814296222897279,2.1496767746861125,1.4959873231461445,3.3804049106933083,4.991972775094491,5.596286487340931,5.515619849092112,6.246736761473976,1.1610630111624929,0.43987069443774107,4.426927985213767,4.894735801749466,3.7489513640050482,3.7004823701160903,18.65409048155866,143.4109068598975,296.1317117494132,184.65631223674217,508.54876499114494,78.9398618902714,160.93998997240323,128.4121333330052,222.03058792360972,S01,R01,S01R01c,S01R01
P0001,AC_P0001_S01_R01_CRK_HDM.mat,CRK,d,14.034835897435897,12.078866666666666,3.56785641025641,-9.299410256410257,-16.064646153846155,-8.141815384615384,-2.9579333333333335,1.9559589743589743,8.511015384615385,23.334241025641024,30.099456410256412,22.17665128205128,6.525805128205128,27.701041025641025,18.784938461538463,0.5932974358974359,1.519902564102564,15.228948717948718,21.60146153846154,27.164620512820512,59.920846153846156,398.86443076923075,1250.849764102564,2235.9105794871793,3562.9234205128205,62.21934358974359,242.1653641025641,218.69800512820512,466.3588051282051,4.044564011744218,4.70882237917565,4.26361910663842,6.179190584058811,4.140901224548479,5.406505914438167,6.029012586973356,1.864605231251729,2.16692164063893,3.6781015200946605,2.9531020859074903,4.765379345944943,5.054164218891186,6.215177920698416,0.7996964026427047,0.3724576274849825,3.80213001287268,3.132893398905074,3.2844074741096474,3.3779134655909044,9.645977157692466,103.43906669474285,372.717148356852,308.03361839991413,600.2184291241269,43.457128474478345,227.22950457674173,165.71019883794824,219.91885882202186,S01,R01,S01R01d,S01R01
